country,country_code,co2_per_pax,co2_per_capita,co2_cagr_13_24,co2_recovery,co2_total_log,km_cluster,hi_cluster
Austria,AT,0.11994682904107143,0.4126579662572408,0.027830943121954554,0.8143076999669193,15.14718197874795,0,0
Belgium,BE,0.06893284331210145,0.18402644005564087,0.008029192041955735,0.7790807761830825,14.595889366481426,0,0
Bulgaria,BG,0.022980265985343397,0.03606887627154252,0.03145470473586687,0.8704415300063334,12.355939091384336,0,0
Croatia,HR,0.021024643987382977,0.05954145243705965,0.04315908294452386,1.1092646936844435,12.346704485140041,0,0
Cyprus,CY,0.006846674079601844,0.055585563207968376,-0.11000358744224914,2.4722041802961416,11.231912702682,0,0
Czech Republic,CZ,0.053997690683510804,0.07296003983462115,0.038983860057081765,0.735140836933769,13.586892394869617,0,0
Denmark,DK,0.051038915459778,0.2654353297925105,0.02578200941345199,0.7734019503382592,14.27704457275133,0,0
Estonia,EE,0.08189012499018715,0.18199154137163337,0.08587104657847422,0.7916233114819219,12.42823753361967,0,0
Finland,FI,0.16336070248216195,0.4673182178888343,0.012412331771515905,0.8417613718856303,14.781081921599958,0,0
France,FR,0.10699281058017977,0.24140334294219476,-0.010057280576878602,0.8483420232435117,16.621812015625874,0,0
Germany,DE,0.10772951467357174,0.2322443628501963,-0.01931601552305806,0.7722352346540327,16.78059076671119,0,0
Greece,GR,0.026427229532701726,0.16129441988836665,0.08178987138400284,1.2156737259875823,14.333286602929332,0,0
Hungary,HU,0.23298878151543817,0.3662234356304888,0.06765404071633996,1.1717612476588974,15.068802899466181,0,0
Ireland,IE,0.40613082750078267,2.8171156211388695,0.04646274170874709,0.9035264533093212,16.53684317574238,1,1
Italy,IT,0.02093525347806307,0.056541733739713385,-0.01812166318716224,0.5487851604270725,15.019470090043376,0,0
Latvia,LV,0.16913028113183678,0.5766282943107001,0.11910858462478258,1.7374165826993047,13.888817615771666,0,0
Luxembourg,LU,0.10023375675873032,0.6907674690777579,0.09856027360485209,1.7031702855874424,13.055494389825347,0,0
Malta,MT,0.42373892662181534,5.622401734342609,0.30710211137765286,3.466299731284919,14.978126024304082,1,1
Netherlands,NL,0.12543052677074432,0.4853871168306449,0.0030079536556215647,0.7600351861952678,15.982711893008032,0,0
Poland,PL,0.08629749917512954,0.11531896639940889,0.16351263656792403,1.6176253228430637,15.254391193167935,0,0
Portugal,PT,0.07906355810995663,0.4343698057067674,0.03791533764110566,1.0007082805180296,15.351398267476654,0,0
Romania,RO,0.017881426942535278,0.0209896339159045,-0.0510097533667887,0.2906264633424869,12.898948267715394,0,0
Slovak Republic,SK,0.03434973086997893,0.014897398083711051,0.08997334808965718,1.5414833469695797,11.299431708391706,0,0
Spain,ES,0.05560267560948961,0.26464849073475033,0.04100948878873756,0.9773955806128378,16.374888483795186,0,0
Sweden,SE,0.0902995057646711,0.24009571620225176,0.0362137958125226,1.1914857512877755,14.74678560313375,0,0
