country,country_code,co2_per_pax,pax_per_cap_24,co2_cagr_13_24,pax_cagr_19_24,seasonality_cv,gdp_per_capita,km_cluster,hi_cluster
Austria,AT,0.11994682904107143,3.8441795810887402,0.027830943121954554,-0.0020416214690683887,0.1744530538035522,58268.8787651601,0,0
Belgium,BE,0.06893284331210145,2.9311898274755643,0.008029192041955735,-0.003559789554474002,0.169453405352378,56614.5679499036,0,0
Bulgaria,BG,0.022980265985343397,1.7017155065629153,0.03145470473586687,-0.013176245119585817,0.3612423160545785,17596.0173663521,1,1
Croatia,HR,0.021024643987382977,3.2618237545910715,0.04315908294452386,0.034898055843967546,0.689068088380155,24050.4397933135,1,1
Cyprus,CY,0.006846674079601844,9.02976554205975,-0.11000358744224914,0.017219623794207273,0.3910818152242126,38674.29296875,1,1
Czech Republic,CZ,0.053997690683510804,1.6273323644836124,0.038983860057081765,-0.011125378532415131,0.3154593108260666,31823.3078290564,0,1
Denmark,DK,0.051038915459778,5.833320673676659,0.02578200941345199,0.000491659418074164,0.19347837201654244,71026.4832271897,0,0
Estonia,EE,0.08189012499018715,2.5298945378736044,0.08587104657847422,0.012797440638041557,0.1335097237970549,31428.3547816104,0,0
Finland,FI,0.16336070248216195,3.1698587397558433,0.012412331771515905,-0.05217601232453184,0.07615853791320751,53149.7671934051,0,0
France,FR,0.10699281058017977,2.441740770277268,-0.010057280576878602,-0.0015951329847641027,0.16767448523507267,46103.0840855884,0,0
Germany,DE,0.10772951467357174,2.389412640431824,-0.01931601552305806,-0.02523948111794161,0.2257871318835839,56103.7323182554,0,0
Greece,GR,0.026427229532701726,6.655549270196809,0.08178987138400284,0.043065327157209676,0.6222394548560911,24626.1481858973,1,1
Hungary,HU,0.23298878151543817,1.859636072333748,0.06765404071633996,0.012625211037335049,0.1523914353622583,23292.3263882478,0,0
Ireland,IE,0.40613082750078267,7.5684589281643655,0.04646274170874709,0.014789214283993157,0.18117460402288954,112894.953240805,0,0
Italy,IT,0.02093525347806307,3.0935071612660887,-0.01812166318716224,0.025664033463903335,0.2262458903851691,40385.3413957669,0,0
Latvia,LV,0.16913028113183678,3.804585333021814,0.11910858462478258,-0.018275244626245524,0.18544547746744003,23409.0845154775,0,0
Lithuania,LT,0.019652151704713648,2.2791258320701817,0.0,0.002388799193740576,0.17532219293273152,29384.0189598663,0,0
Luxembourg,LU,0.10023375675873032,7.6037854572740216,0.09856027360485209,0.033515687039164854,0.17499126429539835,137781.681659123,0,0
Malta,MT,0.42373892662181534,15.765643485858236,0.30710211137765286,0.04149866227840371,0.26445363245736037,43898.5781808597,0,0
Netherlands,NL,0.12543052677074432,4.238550453122339,0.0030079536556215647,-0.012440347093263804,0.1541124348608189,67520.4218956281,0,0
Poland,PL,0.08629749917512954,1.5603587197794877,0.16351263656792403,0.039753907567673163,0.23075679921525785,25103.565661423,0,0
Portugal,PT,0.07906355810995663,5.983975772629403,0.03791533764110566,0.030733825970911788,0.20307406016119,29292.242104753,0,0
Romania,RO,0.017881426942535278,1.2907019198811829,-0.0510097533667887,0.026594742440775754,0.15372493490020775,20080.2096215595,0,0
Slovak Republic,SK,0.03434973086997893,0.4941412586228615,0.08997334808965718,-0.011569636307794062,0.5468626371894189,25992.6748502048,1,1
Spain,ES,0.05560267560948961,5.31721703115161,0.04100948878873756,0.026173660805705934,0.2044452673387132,35326.7683069278,0,0
Sweden,SE,0.0902995057646711,2.8223581179008805,0.0362137958125226,-0.045307822803955844,0.1668247184744847,57117.4877440616,0,0
