country,country_code,pax_per_cap_19,pax_per_cap_24,pax_cagr_13_19,pax_recovery,pax_cagr_19_24,seasonality_cv,peak_share,km_cluster,hi_cluster
Austria,AT,4.014021297489166,3.8441795810887402,0.05568906853466471,0.9275892608354551,-0.0020416214690683887,0.1744530538035522,0.10437376142381526,0,0
Belgium,BE,3.0799242404460623,2.9311898274755643,0.0500997451422327,0.9139762377410571,-0.003559789554474002,0.169453405352378,0.10255051904193722,0,0
Bulgaria,BG,1.770221103306983,1.7017155065629153,0.08754392410515988,0.9016934760388995,-0.013176245119585817,0.3612423160545785,0.139890113209205,1,0
Croatia,HR,2.6898429884108683,3.2618237545910715,0.10861103076542156,1.0186030832969115,0.034898055843967546,0.689068088380155,0.17947383868792732,1,1
Cyprus,CY,8.752361714843966,9.02976554205975,0.08217531288846813,1.0315083102382383,0.017219623794207273,0.3910818152242126,0.1304662490558475,0,0
Czech Republic,CZ,1.7585566540821804,1.6273323644836124,0.07900835934396877,0.7952684508113352,-0.011125378532415131,0.3154593108260666,0.12406356824610835,0,0
Denmark,DK,5.981699814702132,5.833320673676659,0.040174251054849064,0.9125146092767287,0.000491659418074164,0.19347837201654244,0.10931629062946417,0,0
Estonia,EE,2.455353011309083,2.5298945378736044,0.08851791660294905,0.9043499959944789,0.012797440638041557,0.1335097237970549,0.09619685206397692,0,0
Finland,FI,4.217600640103622,3.1698587397558433,0.058412262568005247,0.7129417991612736,-0.05217601232453184,0.07615853791320751,0.0943546858995679,0,0
France,FR,2.5040312732494185,2.441740770277268,0.04076153207773103,0.9486594505669129,-0.0015951329847641027,0.16767448523507267,0.10413515041852378,0,0
Germany,DE,2.7290408301969062,2.389412640431824,0.038490924489789524,0.8170582532191628,-0.02523948111794161,0.2257871318835839,0.1056240996978683,0,0
Greece,GR,5.231366695698452,6.655549270196809,0.08687996828164724,1.1296503115512375,0.043065327157209676,0.6222394548560911,0.16202554648389178,1,1
Hungary,HU,1.722646022248573,1.859636072333748,0.12043743433826837,0.8930691735401105,0.012625211037335049,0.1523914353622583,0.10075873663461264,0,0
Ireland,IE,7.625408523656192,7.5684589281643655,0.07488991132037137,1.0287777511620657,0.014789214283993157,0.18117460402288954,0.10445109080908045,0,0
Italy,IT,2.6899449365376977,3.0935071612660887,0.05688995708162703,1.0136457778300125,0.025664033463903335,0.2262458903851691,0.10942982706327747,0,0
Latvia,LV,4.068155763702163,3.804585333021814,0.08462023048324308,0.8501126291883377,-0.018275244626245524,0.18544547746744003,0.10609822649131014,0,0
Lithuania,LT,2.313937765755549,2.2791258320701817,0.1097508226164623,0.9211849613009699,0.002388799193740576,0.17532219293273152,0.10017543338487969,0,0
Luxembourg,LU,7.041228965759733,7.6037854572740216,0.1236195989768587,1.097661267065072,0.033515687039164854,0.17499126429539835,0.10237408168256705,0,0
Malta,MT,14.523085379986982,15.765643485858236,0.10445575880509383,1.0676564425594433,0.04149866227840371,0.26445363245736037,0.11256210572201338,0,0
Netherlands,NL,4.68106640613244,4.238550453122339,0.05742999413528738,0.878600854140395,-0.012440347093263804,0.1541124348608189,0.09900806335600947,0,0
Poland,PL,1.236459467450361,1.5603587197794877,0.12403916448630614,1.0687185466746307,0.039753907567673163,0.23075679921525785,0.11075574946166537,0,0
Portugal,PT,5.347704409268944,5.983975772629403,0.10821926723951547,1.110846217817392,0.030733825970911788,0.20307406016119,0.10618749653364828,0,0
Romania,RO,1.113269506032734,1.2907019198811829,0.13633230167247778,1.0648401072713753,0.026594742440775754,0.15372493490020775,0.10399596798459933,0,0
Slovak Republic,SK,0.5206656512924935,0.4941412586228615,0.1053316334433747,0.85667692682585,-0.011569636307794062,0.5468626371894189,0.16953937470712518,1,1
Slovenia,SI,0.8231427634272416,0.6757835855974429,0.05233831715916781,0.7378261924249537,-0.03511798189826543,0.2843248450413183,0.11794911822585528,0,0
Spain,ES,4.844431956780628,5.31721703115161,0.06353657947096658,1.0340756381870946,0.026173660805705934,0.2044452673387132,0.1068137112266952,0,0
Sweden,SE,3.659419837964947,2.8223581179008805,0.030319393152767216,0.7826848729579926,-0.045307822803955844,0.1668247184744847,0.1043102655912232,0,0
